B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B01003_001E,B19001_001E,B25010_001E,state,county,tract,block group,GEOID
33,25,23,30,19,25,26,30,19,22,20,20,39,41,56,74,1910,502,4.04,17,31,824800,3,170318248003
25,19,31,17,22,21,27,21,28,24,22,29,49,47,60,75,1490,517,2.89,17,31,824800,4,170318248004
23,24,19,28,36,14,20,23,30,29,19,23,36,45,53,73,1749,495,1.88,17,31,31700,2,170310317002
8,16,10,28,31,28,23,25,19,30,21,30,53,45,61,83,1566,511,1.46,17,31,31700,3,170310317003
20,23,25,15,19,27,30,22,24,23,16,31,57,46,63,87,507,528,1.76,17,31,81300,2,170310813002
15,26,33,28,24,18,26,25,24,30,21,36,48,49,78,80,706,561,1.46,17,31,81300,1,170310813001
11,25,16,32,21,24,19,22,30,19,20,20,50,52,62,93,1225,516,2.29,17,31,100200,1,170311002001
24,20,20,23,26,24,30,22,17,13,21,27,40,50,63,91,571,511,3.15,17,31,100200,2,170311002002
21,28,15,28,27,26,26,29,22,23,21,27,37,55,61,77,868,523,2.06,17,31,100200,4,170311002004
27,24,19,23,21,17,29,29,22,29,14,33,45,52,50,82,763,516,1.54,17,31,100200,5,170311002005
26,14,20,18,25,15,27,19,25,30,28,34,45,44,72,80,740,522,3.57,17,31,100300,3,170311003003
16,18,15,33,20,25,27,33,20,28,9,30,43,43,57,71,1314,488,2.77,17,31,100300,4,170311003004
17,27,16,35,21,29,22,24,22,21,24,21,49,47,68,81,1061,524,2.38,17,31,100300,2,170311003002
21,26,13,20,23,27,20,25,28,23,17,34,45,46,52,80,1443,500,2.95,17,31,110300,4,170311103004
18,25,12,24,23,27,25,31,26,18,25,31,39,49,63,68,946,504,2.98,17,31,110300,3,170311103003
22,22,24,28,15,21,37,20,19,27,25,27,47,53,71,90,1024,548,2.71,17,31,110300,5,170311103005
19,23,27,22,25,18,23,21,21,16,25,28,44,39,57,71,1319,479,2.86,17,31,110300,2,170311103002
28,37,24,27,22,33,24,31,25,23,19,27,45,42,59,75,776,541,1.46,17,31,31400,6,170310314006
13,19,20,28,24,20,24,25,25,22,25,30,43,46,73,87,954,524,1.97,17,31,32100,5,170310321005
31,22,23,30,20,24,28,20,25,23,30,30,43,42,54,79,1469,524,2.41,17,31,835800,1,170318358001
28,27,17,25,20,27,35,23,25,30,21,30,54,50,59,97,983,568,3.08,17,31,835900,2,170318359002
24,14,20,26,22,25,29,27,22,27,11,19,36,46,52,91,1120,491,2.26,17,31,835900,3,170318359003
19,16,23,25,26,25,29,26,30,22,22,24,35,48,66,82,1492,518,2.19,17,31,835900,1,170318359001
15,29,33,18,20,18,19,31,17,26,15,21,53,51,66,85,1563,517,3.15,17,31,834500,1,170318345001
24,22,20,27,26,33,28,25,25,14,13,28,44,49,61,82,723,521,2.84,17,31,836300,1,170318363001
13,22,22,27,21,21,31,33,24,23,12,31,42,47,55,70,860,494,2.03,17,31,836300,2,170318363002
19,21,18,24,22,29,24,31,29,22,21,16,35,55,66,82,1393,514,2.35,17,31,843600,2,170318436002
2,19,22,12,18,30,23,31,33,31,14,32,41,51,56,82,88,497,3.83,17,31,834600,1,170318346001
31,24,21,22,29,31,12,34,15,20,23,22,42,53,52,78,510,509,1.93,17,31,834600,2,170318346002
15,32,29,24,29,27,23,33,24,35,19,24,38,47,64,82,906,545,5.85,17,31,834600,3,170318346003
16,27,23,24,22,26,31,27,24,15,16,24,47,47,63,71,1312,503,2.85,17,31,831800,4,170318318004
19,25,15,32,23,28,17,21,31,21,14,27,38,38,75,74,1493,498,2.98,17,31,831800,3,170318318003
16,18,34,28,15,21,24,32,31,26,30,25,47,49,61,86,1297,543,1.89,17,31,812301,3,170318123013
15,20,19,22,14,25,17,26,19,20,18,26,47,49,62,84,967,483,3.57,17,31,813802,1,170318138021
19,18,26,24,17,32,33,36,25,28,15,24,49,46,61,84,1600,537,3.28,17,31,813802,4,170318138024
17,24,16,21,26,14,19,25,23,10,17,33,48,54,62,80,1649,489,1.54,17,31,812301,2,170318123012
18,20,26,23,20,27,20,35,28,31,21,25,44,44,63,76,922,521,1.63,17,31,812801,2,170318128012
23,26,23,26,22,22,29,22,28,29,26,24,44,38,60,96,609,538,1.87,17,31,812802,1,170318128021
14,20,16,26,24,19,19,17,23,26,25,32,45,58,63,85,963,512,2.23,17,31,812802,2,170318128022
18,20,7,26,13,29,31,32,17,23,24,26,50,48,63,88,1046,515,2.8,17,31,812302,3,170318123023
18,19,21,19,22,19,23,32,31,33,22,30,43,48,53,85,1838,518,2.15,17,31,760801,2,170317608012
18,22,11,27,15,24,18,23,25,23,23,35,51,51,66,87,775,519,1.97,17,31,10201,3,170310102013
24,14,10,19,16,34,27,30,28,27,18,31,42,40,74,73,1716,507,2.8,17,31,10201,1,170310102011
16,26,21,30,29,29,15,31,23,8,25,25,43,52,68,75,2245,516,3.02,17,31,20901,1,170310209011
19,25,18,24,33,18,30,29,25,27,14,32,42,46,60,85,2085,527,2.78,17,31,20901,3,170310209013
24,16,18,19,29,23,24,24,22,23,17,30,46,46,59,78,1075,498,3.53,17,31,20701,2,170310207012
25,26,26,9,24,18,25,29,23,22,28,31,45,45,62,76,818,514,2.67,17,31,20701,1,170310207011
16,20,26,29,23,30,17,29,16,28,26,28,38,55,61,89,2457,531,4.0,17,31,252102,1,170312521021
11,21,24,33,25,15,22,25,20,26,21,32,44,46,57,81,1110,503,3.58,17,31,252202,2,170312522022
22,35,26,24,26,20,28,30,15,20,13,35,54,39,58,68,1123,513,2.95,17,31,252202,3,170312522023
20,25,26,25,25,23,19,29,24,22,19,35,44,56,62,84,2589,538,3.35,17,31,840200,1,170318402001
21,20,16,28,22,26,24,16,20,20,16,28,53,44,60,88,2428,502,3.08,17,31,841100,2,170318411002
15,16,20,33,19,24,28,22,28,22,22,30,44,47,64,72,1905,506,2.79,17,31,841100,1,170318411001
10,17,21,27,21,25,26,30,27,24,27,31,44,49,52,82,1911,513,3.19,17,31,841100,3,170318411003
23,19,23,21,31,31,32,31,27,21,19,23,37,47,58,73,2161,516,3.19,17,31,841200,3,170318412003
10,15,15,23,26,31,28,24,28,26,20,21,52,46,62,89,1918,516,3.46,17,31,841200,2,170318412002
20,28,21,25,32,23,30,26,24,20,15,28,44,48,51,77,1189,512,2.38,17,31,838200,1,170318382001
18,27,23,23,34,36,35,27,26,26,17,25,46,45,51,73,2274,532,2.73,17,31,770201,2,170317702012
12,19,10,18,33,25,26,23,28,25,21,34,34,52,64,79,1912,503,1.53,17,31,770201,3,170317702013
15,17,20,37,19,25,26,33,33,34,21,30,37,41,56,74,2389,518,3.7,17,31,826800,2,170318268002
21,24,21,18,25,20,24,31,24,14,19,28,47,47,52,83,1805,498,2.03,17,31,804603,3,170318046033
24,15,8,32,21,37,20,25,31,28,12,28,37,41,63,75,898,497,2.8,17,31,804306,4,170318043064
21,21,16,21,20,24,30,22,27,23,21,34,41,45,56,88,2320,510,2.89,17,31,804603,1,170318046031
11,24,14,30,25,25,24,30,21,31,24,29,36,56,58,104,1160,542,1.61,17,31,804603,2,170318046032
23,19,26,18,27,27,27,35,21,19,18,27,52,52,68,87,2118,546,3.42,17,31,804712,1,170318047121
19,19,23,26,31,23,20,35,22,27,19,18,49,43,49,70,834,493,2.83,17,31,804712,2,170318047122
19,27,13,28,20,29,30,29,35,22,15,31,44,50,68,86,2657,546,3.1,17,31,804712,3,170318047123
16,22,18,19,15,24,25,21,26,23,19,26,40,45,53,83,1971,475,3.09,17,31,804806,3,170318048063
28,23,9,34,22,25,24,25,21,32,11,25,43,41,64,66,1176,493,3.64,17,31,804806,2,170318048062
27,23,19,28,25,13,29,15,24,23,18,31,51,38,61,85,744,510,3.61,17,31,804806,1,170318048061
22,22,19,30,26,25,19,22,19,30,23,24,39,50,55,76,1133,501,2.88,17,31,808001,1,170318080011
16,26,22,22,19,19,24,28,35,16,20,28,46,46,64,84,1115,515,3.26,17,31,808001,2,170318080012
11,17,31,28,16,20,16,26,21,27,27,24,46,45,62,81,1643,498,3.25,17,31,808001,3,170318080013
17,22,16,27,26,23,21,22,25,25,20,28,44,49,57,66,1487,488,2.06,17,31,808100,1,170318081001
10,19,18,26,28,21,31,18,23,19,21,31,44,42,64,82,2065,497,1.63,17,31,808100,2,170318081002
19,22,16,21,16,21,17,28,22,18,23,26,45,45,66,77,1323,482,2.27,17,31,818600,1,170318186001
16,28,21,19,22,16,27,31,29,30,17,29,39,43,65,71,1548,503,3.34,17,31,819700,3,170318197003
23,20,34,29,24,27,31,26,20,18,25,17,40,45,61,74,851,514,2.8,17,31,819700,4,170318197004
14,23,17,24,19,21,14,25,29,20,16,25,48,45,63,89,1304,492,2.93,17,31,819802,1,170318198021
32,21,26,20,20,24,29,30,31,26,23,29,42,56,60,90,692,559,2.24,17,31,820103,2,170318201032
12,17,19,19,21,30,24,26,25,26,16,30,46,48,46,90,971,495,2.21,17,31,820103,4,170318201034
22,24,24,17,26,29,25,25,23,23,15,35,39,53,57,89,1827,526,2.7,17,31,820700,3,170318207003
17,21,17,21,25,28,31,30,23,27,19,24,48,47,62,105,926,545,2.22,17,31,820700,2,170318207002
18,21,3,18,20,19,25,27,30,17,19,26,44,45,62,84,2308,478,2.67,17,31,820700,4,170318207004
14,31,19,17,17,20,26,35,22,25,24,28,49,54,71,81,1355,533,1.45,17,31,822701,1,170318227011
23,26,31,25,21,21,20,31,31,29,16,25,40,40,65,84,1109,528,2.72,17,31,822701,4,170318227014
22,28,20,30,15,24,23,33,26,18,14,30,47,50,66,78,1038,524,2.84,17,31,822701,2,170318227012
21,24,23,22,24,17,26,24,18,22,28,31,43,48,63,91,1333,525,3.06,17,31,824300,1,170318243001
23,33,22,27,25,22,22,31,32,21,16,30,46,49,49,89,2210,537,3.57,17,31,825504,1,170318255041
21,20,22,30,22,11,27,22,19,18,21,30,53,42,59,84,1570,501,2.68,17,31,825504,2,170318255042
27,8,19,21,22,26,22,23,31,14,16,31,42,50,71,77,984,500,2.9,17,31,825700,1,170318257001
15,28,34,29,21,31,25,31,16,16,24,25,46,45,60,90,1011,536,2.21,17,31,825803,3,170318258033
22,20,17,19,16,37,20,25,30,21,19,24,52,56,69,82,919,529,2.28,17,31,825803,4,170318258034
22,19,31,24,16,29,25,33,27,14,30,25,39,41,61,83,935,519,2.93,17,31,826303,3,170318263033
20,20,23,18,20,20,18,28,28,19,23,28,43,62,66,75,719,511,3.74,17,31,826303,2,170318263032
22,24,30,27,25,21,19,27,30,23,12,30,42,48,52,78,1843,510,3.08,17,31,826303,4,170318263034
14,19,31,29,20,21,29,21,29,19,17,32,46,56,60,92,222,535,1.79,17,31,827300,1,170318273001
19,21,25,32,28,17,30,21,26,22,19,25,48,43,48,84,745,508,2.3,17,31,440102,4,170314401024
19,20,21,27,22,27,31,22,18,33,18,28,59,39,60,88,2313,532,3.05,17,31,831700,1,170318317001
16,23,32,29,31,15,26,20,26,24,21,32,41,54,61,90,884,541,3.11,17,31,440202,3,170314402023
18,7,18,20,19,26,22,21,21,25,22,28,46,51,64,92,982,500,1.54,17,31,440202,2,170314402022
14,22,22,21,17,8,20,31,22,16,22,29,48,41,67,88,660,488,2.31,17,31,430102,2,170314301022
24,11,19,27,18,26,17,28,25,22,31,24,46,49,59,69,1091,495,1.66,17,31,430102,3,170314301023
21,29,16,26,16,28,19,25,23,20,18,28,35,46,74,77,1259,501,3.22,17,31,490901,2,170314909012
15,16,22,35,27,19,20,23,31,17,13,37,32,39,71,87,1495,504,3.18,17,31,530502,1,170315305021
16,27,21,25,23,22,27,31,20,31,17,18,43,44,52,85,2418,502,4.11,17,31,650302,2,170316503022
19,15,19,21,20,24,24,24,29,21,16,32,46,53,77,89,878,529,2.18,17,31,823801,3,170318238013
20,21,22,24,23,32,29,18,26,20,21,37,40,45,67,82,1260,527,4.33,17,31,813801,2,170318138012
24,11,29,28,18,32,21,28,32,16,18,32,47,48,52,66,568,502,2.78,17,31,700501,5,170317005015
21,23,20,28,22,27,27,27,39,22,21,31,46,46,64,86,1932,550,3.51,17,31,700501,3,170317005013
14,24,16,35,25,21,20,27,27,22,22,31,51,48,58,82,1616,523,3.46,17,31,700501,1,170317005011
23,19,23,25,25,21,26,24,25,20,17,35,38,52,62,75,826,510,2.6,17,31,700501,6,170317005016
19,29,18,27,19,16,16,21,20,19,6,22,39,49,60,80,1063,460,3.12,17,31,814000,1,170318140001
13,19,17,31,21,29,17,21,22,22,24,30,41,42,54,76,765,479,2.83,17,31,815000,1,170318150001
21,24,19,25,27,38,29,30,20,25,21,24,49,40,45,93,2179,530,3.84,17,31,815000,3,170318150003
16,16,22,28,25,20,19,18,19,22,8,26,48,43,56,83,1363,469,3.32,17,31,815000,2,170318150002
15,28,24,25,13,18,23,33,15,25,14,23,53,43,49,81,988,482,2.7,17,31,815400,1,170318154001
20,15,5,18,22,23,22,18,25,35,20,31,49,59,72,75,1265,509,2.09,17,31,815400,4,170318154004
17,21,16,23,19,17,27,18,21,31,17,32,48,38,54,71,1169,470,3.04,17,31,815400,2,170318154002
14,25,22,27,21,22,22,23,30,27,20,21,45,46,57,94,2234,516,2.48,17,31,815400,3,170318154003
22,28,17,16,19,21,23,16,20,17,15,31,41,48,47,89,1278,470,3.9,17,31,816600,1,170318166001
18,21,24,23,17,24,22,22,25,27,31,28,38,29,57,78,2154,484,3.59,17,31,816600,3,170318166003
19,29,17,14,25,16,21,27,21,21,20,22,43,43,55,106,1338,499,3.87,17,31,816600,2,170318166002
26,27,17,29,17,19,23,27,21,27,22,17,53,50,64,80,1405,519,2.54,17,31,817101,3,170318171013
19,18,18,22,29,21,25,21,30,23,22,30,44,47,58,90,981,517,2.37,17,31,817101,2,170318171012
21,17,23,31,29,29,25,24,29,19,29,21,39,60,53,79,1415,528,2.78,17,31,806103,3,170318061033
15,26,21,17,26,27,17,28,33,27,17,32,39,47,62,84,1734,518,2.71,17,31,221200,2,170312212002
13,17,12,28,13,19,25,23,21,16,15,28,42,49,71,77,893,469,3.16,17,31,834700,3,170318347003
17,27,14,27,26,29,17,26,28,25,20,34,44,48,65,105,924,552,2.86,17,31,806103,2,170318061032
17,29,19,27,30,29,30,20,22,8,27,25,43,55,62,95,7,538,-666666666.0,17,31,351100,2,170313511002
25,18,26,24,13,29,29,21,28,28,13,36,46,52,54,75,0,517,-666666666.0,17,31,351100,3,170313511003
17,22,27,19,29,23,29,31,23,16,22,30,48,47,65,87,2754,535,2.32,17,31,80400,1,170310804001
25,24,11,13,20,21,14,28,32,22,23,32,52,35,64,72,659,488,2.09,17,31,80400,2,170310804002
25,20,16,30,24,29,25,19,23,28,22,31,47,41,66,76,1494,522,2.68,17,31,80400,3,170310804003
7,22,21,26,30,22,28,22,28,21,19,29,42,48,52,83,1565,500,2.26,17,31,282800,1,170312828001
15,26,25,24,23,17,31,30,25,17,23,25,53,44,64,70,1057,512,3.66,17,31,260600,1,170312606001
16,18,20,30,24,23,25,25,22,26,25,32,37,54,69,88,1535,534,4.35,17,31,260600,2,170312606002
20,23,29,10,27,23,23,24,27,30,27,27,41,38,62,82,885,513,2.46,17,31,71700,1,170310717001
22,23,20,24,28,18,15,35,19,17,14,20,43,43,60,75,928,476,2.4,17,31,71700,2,170310717002
24,22,31,20,20,40,34,24,16,19,20,27,56,41,64,72,1689,530,3.22,17,31,20200,3,170310202003
17,10,20,21,35,35,36,24,19,12,19,33,50,52,52,77,831,512,2.19,17,31,40800,2,170310408002
22,27,28,22,28,22,23,29,28,25,25,25,39,54,65,71,984,533,2.16,17,31,40800,1,170310408001
18,23,18,19,31,18,24,32,21,13,21,31,39,47,56,83,878,494,3.14,17,31,222900,1,170312229001
23,24,22,22,19,27,21,25,26,27,25,22,49,48,67,86,1845,533,2.54,17,31,30200,4,170310302004
14,21,24,21,21,25,17,29,28,23,20,20,50,48,64,82,1018,507,2.5,17,31,30200,3,170310302003
21,11,28,26,33,24,27,25,26,28,17,32,40,42,64,86,1366,530,1.81,17,31,30200,1,170310302001
10,26,21,28,25,28,21,21,25,22,28,26,48,50,53,93,1045,525,2.04,17,31,30200,2,170310302002
20,25,23,15,25,25,16,25,20,27,24,30,48,41,71,72,1309,507,2.1,17,31,61100,1,170310611001
24,29,20,27,27,25,28,21,11,21,15,26,59,53,61,70,1481,517,2.27,17,31,283200,1,170312832001
7,23,23,17,16,25,21,29,24,30,16,30,40,51,61,83,3111,496,2.73,17,31,804711,1,170318047111
22,26,15,28,21,28,26,30,21,21,28,32,42,39,62,86,889,527,3.03,17,31,804711,4,170318047114
18,21,22,26,21,24,26,23,23,21,18,30,49,55,75,75,1536,527,2.62,17,31,805106,2,170318051062
24,22,18,26,19,29,22,22,16,22,11,33,48,42,70,88,1132,512,1.97,17,31,805106,1,170318051061
12,17,32,31,24,35,23,25,22,29,18,36,36,55,50,79,1344,524,2.95,17,31,805109,1,170318051091
20,26,20,22,27,18,22,28,27,30,24,30,43,46,72,81,1126,536,2.27,17,31,805109,3,170318051093
19,21,22,31,28,28,22,27,32,24,17,27,39,44,67,87,1762,535,2.85,17,31,805002,1,170318050021
12,13,19,18,19,26,20,32,19,24,25,24,53,47,72,97,1067,520,4.22,17,31,805002,4,170318050024
25,28,23,28,29,24,19,20,22,19,26,29,43,47,75,71,968,528,3.13,17,31,805002,5,170318050025
16,26,20,33,29,23,23,29,30,31,14,28,55,50,60,87,1321,554,2.39,17,31,804803,2,170318048032
21,19,28,18,21,25,24,31,28,32,22,27,38,51,66,90,857,541,3.36,17,31,804808,1,170318048081
22,21,20,25,20,27,31,32,23,19,20,29,37,47,59,80,723,512,2.64,17,31,804808,3,170318048083
22,29,18,15,18,19,33,30,27,23,22,23,47,42,52,65,852,485,2.8,17,31,804902,4,170318049024
16,22,9,20,23,19,27,21,31,23,16,31,34,51,68,85,1334,496,2.83,17,31,804902,1,170318049021
11,22,21,27,17,23,13,23,26,21,20,32,61,42,71,75,1579,505,2.41,17,31,770300,2,170317703002
21,15,14,26,23,26,31,21,29,33,22,19,55,40,65,89,2261,529,2.37,17,31,803007,3,170318030073
18,14,18,14,16,30,28,20,28,23,11,37,40,58,69,82,1353,506,2.05,17,31,803007,1,170318030071
20,22,26,21,27,23,33,31,22,24,9,24,44,44,81,76,595,527,4.25,17,31,816402,4,170318164024
13,24,21,21,27,27,27,21,29,17,16,23,43,52,55,78,1751,494,4.81,17,31,816402,2,170318164022
15,14,18,26,15,22,26,25,26,23,21,40,49,47,59,75,1551,501,2.01,17,31,351400,1,170313514001
11,22,19,21,8,19,20,26,24,22,22,26,38,56,53,83,758,470,2.16,17,31,421200,2,170314212002
18,29,19,22,25,27,19,26,28,28,14,28,42,46,64,85,786,520,2.91,17,31,491200,3,170314912003
15,31,26,23,33,17,21,28,22,23,15,34,40,46,53,84,1417,511,2.74,17,31,805401,2,170318054012
16,21,23,25,14,17,26,34,31,29,23,24,41,45,60,86,1378,515,2.64,17,31,805401,1,170318054011
25,15,26,27,22,21,28,29,27,20,30,33,42,42,65,83,743,535,1.24,17,31,350100,1,170313501001
19,20,20,22,12,26,21,34,21,15,23,23,54,58,68,77,1033,513,2.94,17,31,190200,4,170311902004
21,15,13,28,24,20,28,20,22,28,15,28,47,44,69,84,1726,506,3.49,17,31,190200,2,170311902002
26,18,17,29,13,31,27,24,26,24,20,24,45,52,75,71,1424,522,4.89,17,31,190200,1,170311902001
15,19,21,24,32,26,27,30,17,22,20,27,47,43,62,78,1511,510,3.56,17,31,190200,3,170311902003
22,16,25,33,24,31,28,24,29,23,26,21,42,60,65,82,581,551,2.8,17,31,221300,3,170312213003
21,19,20,16,17,29,25,25,36,29,21,33,47,45,58,88,787,529,1.67,17,31,221300,2,170312213002
10,12,18,32,12,31,20,25,24,24,26,20,43,51,72,70,1394,490,2.38,17,31,221300,1,170312213001
22,25,29,24,33,21,19,23,28,28,27,28,38,54,63,83,3416,545,2.64,17,31,824505,1,170318245051
11,17,14,19,29,30,22,33,27,26,14,24,51,53,56,84,2378,510,3.25,17,31,824505,3,170318245053
17,29,28,17,16,17,33,27,22,25,28,28,44,53,57,81,1029,522,2.99,17,31,825900,3,170318259003
21,10,20,30,18,25,27,36,22,18,26,28,38,53,69,82,1529,523,3.7,17,31,825900,1,170318259001
25,14,19,17,30,25,33,24,27,18,14,27,43,48,67,78,1156,509,3.62,17,31,826000,3,170318260003
18,27,14,21,20,15,23,31,37,33,20,26,39,49,64,77,1152,514,3.29,17,31,826000,2,170318260002
24,28,14,19,25,30,22,23,27,21,22,31,43,59,60,85,607,533,2.42,17,31,826100,1,170318261001
26,27,15,22,23,16,21,27,33,22,26,19,38,47,66,93,1292,521,2.53,17,31,826100,3,170318261003
18,28,22,16,22,18,24,24,26,30,14,38,34,52,69,87,2352,522,4.29,17,31,826100,6,170318261006
25,22,30,27,29,19,27,25,18,26,19,18,56,48,67,86,1310,542,2.45,17,31,826304,3,170318263043
19,13,28,29,21,18,19,29,28,33,16,27,47,49,58,82,1084,516,2.77,17,31,826304,2,170318263042
18,17,16,25,17,21,22,27,28,17,18,23,45,43,57,80,1583,474,1.82,17,31,242300,2,170312423002
27,26,23,20,19,24,17,20,16,27,29,32,42,46,53,87,1794,508,3.7,17,31,250400,3,170312504003
20,22,24,22,25,24,22,19,25,24,12,32,48,45,63,71,1113,498,2.59,17,31,250400,4,170312504004
22,17,24,17,7,21,22,29,31,24,22,24,42,48,49,90,1493,489,1.52,17,31,81402,2,170310814022
17,30,23,25,23,15,17,26,26,17,23,25,41,46,69,70,2103,493,1.55,17,31,81402,1,170310814021
24,23,22,20,17,33,15,25,28,28,17,22,32,57,61,83,1075,507,1.88,17,31,10202,2,170310102022
22,19,22,20,20,26,22,25,28,19,9,28,46,56,65,80,1427,507,2.21,17,31,10202,1,170310102021
25,19,18,25,24,27,23,24,26,31,18,31,42,49,52,95,1570,529,1.54,17,31,61902,2,170310619022
15,20,23,29,24,26,23,25,26,19,25,26,44,41,53,92,1433,511,1.35,17,31,61902,3,170310619023
21,15,31,25,23,27,23,24,25,25,25,37,47,47,60,88,1550,543,2.61,17,31,829800,5,170318298005
24,21,27,23,21,13,30,25,23,29,12,32,45,50,74,92,947,541,3.22,17,31,150600,3,170311506003
22,22,17,24,27,18,30,26,17,22,17,21,54,50,57,87,1399,511,4.25,17,31,815100,1,170318151001
13,24,17,22,21,25,28,27,26,22,17,22,33,47,69,78,1776,491,3.01,17,31,815100,3,170318151003
27,22,12,28,20,24,29,32,19,18,17,32,45,49,72,79,1069,525,3.33,17,31,815100,2,170318151002
12,20,16,28,23,24,23,21,25,25,19,27,43,56,47,90,1144,499,2.74,17,31,818100,1,170318181001
19,22,15,20,25,20,33,29,30,22,14,27,45,54,56,72,1273,503,2.64,17,31,818100,2,170318181002
19,25,18,27,16,30,27,27,27,18,21,36,41,49,59,86,759,526,2.56,17,31,818200,2,170318182002
18,24,20,25,20,25,31,26,25,22,19,30,44,39,60,71,1391,499,3.08,17,31,818200,1,170318182001
29,25,15,19,20,16,27,33,22,26,23,24,49,44,51,88,1895,511,2.37,17,31,818200,4,170318182004
24,16,14,27,29,22,26,25,22,19,24,24,55,49,60,72,509,508,2.06,17,31,818200,3,170318182003
12,7,11,23,27,23,20,24,20,21,24,30,56,39,55,80,1035,472,2.33,17,31,818900,3,170318189003
29,23,16,17,19,23,24,28,27,30,29,28,50,43,66,82,1988,534,2.12,17,31,818900,2,170318189002
29,21,12,15,22,19,33,22,17,27,15,34,39,43,57,70,1728,475,2.87,17,31,818900,1,170318189001
22,15,24,27,28,21,29,34,21,30,14,29,52,53,62,94,821,555,2.41,17,31,661000,1,170316610001
19,27,24,24,25,30,19,30,21,30,14,33,38,47,54,87,1137,522,4.08,17,31,661000,2,170316610002
26,27,18,21,24,28,25,23,26,20,22,31,40,49,59,92,1475,531,2.63,17,31,661000,5,170316610005
22,20,11,24,28,27,16,27,26,24,24,22,46,39,60,101,985,517,3.06,17,31,670200,1,170316702001
16,12,27,26,2,22,18,25,22,23,15,32,46,42,69,74,1822,471,1.99,17,31,380100,1,170313801001
21,16,13,24,15,19,16,30,26,23,22,29,37,47,54,83,2034,475,2.19,17,31,461000,1,170314610001
14,23,24,22,23,27,31,25,20,19,25,25,49,51,67,73,643,518,1.75,17,31,63000,3,170310630003
