B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B01003_001E,B19001_001E,B25010_001E,state,county,tract,block group,GEOID
53,0,31,0,61,70,66,66,28,28,16,84,12,0,0,0,1490,515,2.89,17,031,824800,4,170318248004
218,106,25,61,0,12,26,44,0,36,69,79,90,89,13,64,1749,932,1.88,17,031,031700,2,170310317002
187,78,41,89,132,51,15,75,11,24,62,113,58,11,26,14,1566,987,1.46,17,031,031700,3,170310317003
0,21,30,0,14,0,0,0,0,0,54,20,62,18,12,57,507,288,1.76,17,031,081300,2,170310813002
45,14,0,20,45,30,54,11,0,17,23,52,59,60,14,38,706,482,1.46,17,031,081300,1,170310813001
19,57,0,0,0,60,32,44,30,32,25,63,119,29,12,14,1225,536,2.29,17,031,100200,1,170311002001
0,0,0,0,0,0,0,0,18,0,0,67,57,13,26,0,571,181,3.15,17,031,100200,2,170311002002
34,0,18,0,15,0,16,57,0,59,39,146,0,0,11,27,868,422,2.06,17,031,100200,4,170311002004
0,0,67,32,0,0,45,40,18,21,38,107,33,84,9,0,763,494,1.54,17,031,100200,5,170311002005
16,0,0,0,27,0,0,15,0,0,25,32,45,0,0,47,740,207,3.57,17,031,100300,3,170311003003
81,14,14,15,13,0,0,0,0,9,0,145,26,31,10,69,1314,427,2.77,17,031,100300,4,170311003004
15,0,0,13,17,0,15,14,0,105,74,21,40,28,13,25,1061,380,2.38,17,031,100300,2,170311003002
8,43,39,26,0,9,0,12,9,17,22,20,46,127,92,19,1443,489,2.95,17,031,110300,4,170311103004
9,35,8,10,15,57,0,0,0,16,54,10,31,24,19,29,946,317,2.98,17,031,110300,3,170311103003
12,24,14,9,15,7,3,29,0,24,36,55,42,37,71,0,1024,378,2.71,17,031,110300,5,170311103005
15,0,58,7,0,14,37,25,0,24,70,123,20,23,33,12,1319,461,2.86,17,031,110300,2,170311103002
46,0,0,17,0,67,13,12,17,23,42,16,49,65,0,15,776,382,1.46,17,031,031400,6,170310314006
0,80,45,29,24,0,0,76,0,19,14,30,30,50,12,69,954,478,1.97,17,031,032100,5,170310321005
123,43,12,32,14,16,30,6,16,62,59,28,87,31,30,21,1469,610,2.41,17,031,835800,1,170318358001
60,46,23,10,4,10,0,5,17,44,41,18,41,0,0,0,983,319,3.08,17,031,835900,2,170318359002
131,50,48,37,18,80,5,8,15,22,26,0,13,0,30,7,1120,490,2.26,17,031,835900,3,170318359003
239,100,73,41,18,15,15,0,26,21,19,20,46,8,39,0,1492,680,2.19,17,031,835900,1,170318359001
145,32,30,33,19,27,21,47,8,26,28,54,22,0,0,0,1563,492,3.15,17,031,834500,1,170318345001
27,0,14,12,12,13,0,11,14,28,64,51,0,0,3,6,723,255,2.84,17,031,836300,1,170318363001
37,3,14,33,25,22,6,12,5,25,47,56,27,45,27,16,860,400,2.03,17,031,836300,2,170318363002
87,97,66,62,31,71,0,20,17,34,21,55,22,0,0,10,1393,593,2.35,17,031,843600,2,170318436002
0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,88,23,3.83,17,031,834600,1,170318346001
65,53,58,7,7,8,0,17,0,9,17,0,6,0,0,0,510,247,1.93,17,031,834600,2,170318346002
23,39,23,10,0,18,0,0,0,0,25,17,0,0,0,0,906,155,5.85,17,031,834600,3,170318346003
35,0,65,28,8,52,10,27,40,0,8,53,22,0,0,0,1312,348,2.85,17,031,831800,4,170318318004
83,42,25,16,0,32,0,0,0,8,41,87,75,13,56,23,1493,501,2.98,17,031,831800,3,170318318003
45,0,44,17,0,0,12,52,32,16,95,108,122,14,86,38,1297,681,1.89,17,031,812301,3,170318123013
92,0,25,16,0,0,38,0,20,30,35,6,9,0,0,0,967,271,3.57,17,031,813802,1,170318138021
59,27,20,0,38,76,58,66,0,7,51,60,26,0,0,0,1600,488,3.28,17,031,813802,4,170318138024
49,15,32,18,0,38,89,111,178,45,124,112,109,84,0,52,1649,1056,1.54,17,031,812301,2,170318123012
46,37,57,32,8,31,0,9,0,103,55,45,19,0,67,41,922,550,1.63,17,031,812801,2,170318128012
28,13,0,0,10,10,19,39,0,26,9,55,35,12,24,46,609,326,1.87,17,031,812802,1,170318128021
22,36,0,20,42,32,12,0,0,19,35,27,62,16,24,85,963,432,2.23,17,031,812802,2,170318128022
0,0,0,0,7,15,12,0,12,0,37,72,74,38,21,32,1046,320,2.8,17,031,812302,3,170318123023
37,49,67,102,32,51,66,110,35,24,174,86,0,0,12,11,1838,856,2.15,17,031,760801,2,170317608012
58,29,29,38,0,0,0,28,0,28,42,75,13,0,28,26,775,394,1.97,17,031,010201,3,170310102013
45,65,85,43,15,0,32,40,27,0,69,37,42,38,23,29,1716,590,2.8,17,031,010201,1,170310102011
52,23,70,40,42,75,85,47,89,72,61,22,17,12,36,0,2245,743,3.02,17,031,020901,1,170310209011
54,16,121,32,99,41,56,85,48,56,24,38,51,0,0,26,2085,747,2.78,17,031,020901,3,170310209013
23,0,5,5,41,9,0,2,0,17,75,58,3,10,10,46,1075,304,3.53,17,031,020701,2,170310207012
16,0,5,5,0,19,13,13,22,4,43,60,13,41,48,4,818,306,2.67,17,031,020701,1,170310207011
0,101,103,9,65,62,24,51,35,41,10,88,21,5,0,0,2457,615,4.0,17,031,252102,1,170312521021
172,19,24,33,8,15,25,0,0,0,14,0,0,0,0,0,1110,310,3.58,17,031,252202,2,170312522022
59,30,53,40,35,18,31,4,0,8,40,30,0,16,0,0,1123,364,2.95,17,031,252202,3,170312522023
103,38,35,59,36,57,16,27,45,52,104,93,27,43,22,14,2589,771,3.35,17,031,840200,1,170318402001
202,124,38,15,43,52,44,22,0,35,152,14,0,36,12,0,2428,789,3.08,17,031,841100,2,170318411002
95,70,31,102,54,14,44,16,10,30,47,53,45,50,10,13,1905,684,2.79,17,031,841100,1,170318411001
64,25,86,74,24,0,15,33,30,30,46,20,86,47,0,19,1911,599,3.19,17,031,841100,3,170318411003
102,39,68,71,78,96,57,24,24,51,39,13,13,0,0,0,2161,675,3.19,17,031,841200,3,170318412003
25,0,27,45,63,83,7,8,41,112,45,54,17,21,7,0,1918,555,3.46,17,031,841200,2,170318412002
60,7,34,13,0,13,12,7,24,27,37,27,20,28,27,0,1189,336,2.38,17,031,838200,1,170318382001
19,28,70,0,13,64,52,32,0,35,105,66,139,117,53,33,2274,826,2.73,17,031,770201,2,170317702012
165,0,162,97,93,62,80,72,75,95,118,90,54,27,26,35,1912,1251,1.53,17,031,770201,3,170317702013
132,49,41,28,30,20,71,7,74,161,25,8,0,0,0,0,2389,646,3.7,17,031,826800,2,170318268002
64,0,0,92,43,64,0,113,22,38,163,138,98,12,26,14,1805,887,2.03,17,031,804603,3,170318046033
19,0,6,0,13,11,42,0,15,49,41,30,33,14,7,41,898,321,2.8,17,031,804306,4,170318043064
36,38,9,83,42,34,61,42,13,171,105,24,90,0,36,18,2320,802,2.89,17,031,804603,1,170318046031
54,0,0,64,19,68,66,64,14,63,226,43,11,27,0,0,1160,719,1.61,17,031,804603,2,170318046032
12,0,0,0,35,0,40,41,27,32,111,158,24,53,14,73,2118,620,3.42,17,031,804712,1,170318047121
0,9,10,0,11,15,7,0,12,35,39,55,19,36,28,19,834,295,2.83,17,031,804712,2,170318047122
0,37,11,6,0,8,0,18,16,36,56,72,132,106,178,180,2657,856,3.1,17,031,804712,3,170318047123
81,27,29,50,23,0,26,78,20,51,62,77,38,52,23,0,1971,637,3.09,17,031,804806,3,170318048063
0,0,16,0,0,10,22,0,16,63,30,87,0,43,36,0,1176,323,3.64,17,031,804806,2,170318048062
0,0,5,0,20,25,0,0,0,0,20,64,54,9,9,0,744,206,3.61,17,031,804806,1,170318048061
0,0,27,14,22,20,10,9,14,16,14,59,24,72,31,61,1133,393,2.88,17,031,808001,1,170318080011
8,0,27,18,7,24,0,8,3,30,7,56,25,54,38,37,1115,342,3.26,17,031,808001,2,170318080012
0,16,9,5,28,44,10,0,8,13,57,68,78,65,51,54,1643,506,3.25,17,031,808001,3,170318080013
0,41,14,27,45,83,0,6,90,60,33,7,67,65,9,24,1487,571,2.06,17,031,808100,1,170318081001
143,81,71,76,50,79,62,45,15,107,80,108,75,37,44,27,2065,1100,1.63,17,031,808100,2,170318081002
43,40,15,26,36,0,16,27,9,53,0,73,92,57,28,67,1323,582,2.27,17,031,818600,1,170318186001
0,0,0,8,17,0,14,0,14,8,13,72,29,30,102,156,1548,463,3.34,17,031,819700,3,170318197003
0,7,0,6,0,5,0,0,17,45,21,0,15,46,59,83,851,304,2.8,17,031,819700,4,170318197004
0,0,0,7,5,8,16,5,13,0,23,59,72,61,69,107,1304,445,2.93,17,031,819802,1,170318198021
20,45,0,24,7,39,43,20,0,31,4,39,20,0,8,9,692,309,2.24,17,031,820103,2,170318201032
7,8,4,59,0,32,0,16,0,25,12,21,36,26,48,35,971,329,2.21,17,031,820103,4,170318201034
157,0,60,13,0,0,89,39,0,57,129,28,91,13,0,0,1827,676,2.7,17,031,820700,3,170318207003
0,0,19,0,17,89,6,0,9,93,53,54,65,0,13,0,926,418,2.22,17,031,820700,2,170318207002
25,13,71,19,47,137,35,65,34,108,61,21,108,60,45,0,2308,849,2.67,17,031,820700,4,170318207004
99,98,144,80,27,123,12,29,14,74,135,84,0,15,0,0,1355,934,1.45,17,031,822701,1,170318227011
28,36,12,41,0,14,95,59,26,27,0,36,26,8,0,0,1109,408,2.72,17,031,822701,4,170318227014
37,0,6,0,20,0,10,49,0,17,11,83,32,66,34,0,1038,365,2.84,17,031,822701,2,170318227012
44,55,45,19,53,1,0,10,8,7,39,20,0,70,29,36,1333,436,3.06,17,031,824300,1,170318243001
61,9,12,5,12,52,0,41,39,73,105,16,100,8,67,19,2210,619,3.57,17,031,825504,1,170318255041
51,28,0,38,60,27,28,63,13,40,42,92,46,0,48,0,1570,576,2.68,17,031,825504,2,170318255042
54,30,16,32,0,7,13,30,27,26,38,40,10,0,3,13,984,339,2.9,17,031,825700,1,170318257001
54,22,11,25,79,0,0,5,38,0,63,101,28,12,20,0,1011,458,2.21,17,031,825803,3,170318258033
112,0,0,0,0,31,0,0,21,0,79,15,85,60,0,0,919,403,2.28,17,031,825803,4,170318258034
0,7,7,30,0,0,0,53,27,64,60,27,17,7,13,7,935,319,2.93,17,031,826303,3,170318263033
0,0,0,26,32,5,17,0,10,29,12,25,20,9,0,7,719,192,3.74,17,031,826303,2,170318263032
71,18,10,30,58,26,90,30,8,29,20,80,42,41,18,28,1843,599,3.08,17,031,826303,4,170318263034
26,15,18,16,20,0,6,0,0,14,0,0,0,9,0,0,222,124,1.79,17,031,827300,1,170318273001
71,39,67,8,69,33,8,0,8,12,9,0,0,0,0,0,745,324,2.3,17,031,440102,4,170314401024
95,13,36,65,18,22,48,34,22,42,92,55,99,23,66,28,2313,758,3.05,17,031,831700,1,170318317001
41,0,0,0,0,5,0,16,0,32,55,43,14,9,24,45,884,284,3.11,17,031,440202,3,170314402023
153,121,62,53,49,16,33,20,38,20,23,0,48,0,0,0,982,636,1.54,17,031,440202,2,170314402022
32,8,105,31,0,9,21,0,0,9,40,31,0,0,0,0,660,286,2.31,17,031,430102,2,170314301022
225,89,23,26,123,0,25,0,0,32,56,31,12,8,0,0,1091,650,1.66,17,031,430102,3,170314301023
110,22,47,12,0,52,8,28,16,60,0,6,13,0,0,0,1259,374,3.22,17,031,490901,2,170314909012
44,12,51,27,50,11,34,19,13,50,51,69,27,3,9,0,1495,470,3.18,17,031,530502,1,170315305021
0,0,0,51,72,64,56,36,55,63,15,44,92,22,19,0,2418,589,4.11,17,031,650302,2,170316503022
14,0,16,0,22,14,0,11,72,14,61,55,37,0,27,48,878,391,2.18,17,031,823801,3,170318238013
45,3,5,0,0,43,39,14,21,31,32,23,22,13,0,0,1260,291,4.33,17,031,813801,2,170318138012
0,0,16,0,0,0,0,0,0,0,54,41,64,29,0,0,568,204,2.78,17,031,700501,5,170317005015
0,31,0,59,0,0,0,27,0,55,98,114,63,80,23,0,1932,550,3.51,17,031,700501,3,170317005013
32,0,0,0,56,0,9,16,0,138,14,74,63,0,0,48,1616,450,3.46,17,031,700501,1,170317005011
0,0,0,14,0,32,0,14,106,0,14,56,27,39,16,0,826,318,2.6,17,031,700501,6,170317005016
0,70,5,23,14,36,31,0,33,10,7,80,9,23,0,0,1063,341,3.12,17,031,814000,1,170318140001
22,47,33,0,0,0,5,18,42,9,48,20,16,0,10,0,765,270,2.83,17,031,815000,1,170318150001
41,23,61,11,40,17,13,37,45,61,34,22,75,69,18,0,2179,567,3.84,17,031,815000,3,170318150003
7,0,30,34,23,30,65,0,69,32,16,47,12,34,12,0,1363,411,3.32,17,031,815000,2,170318150002
0,0,0,16,57,0,16,0,0,24,13,130,55,0,42,0,988,353,2.7,17,031,815400,1,170318154001
14,0,87,104,32,19,34,59,6,19,79,20,38,10,73,11,1265,605,2.09,17,031,815400,4,170318154004
32,0,10,45,33,21,0,0,0,27,22,23,67,78,0,27,1169,385,3.04,17,031,815400,2,170318154002
48,23,16,111,38,17,0,70,14,33,181,104,68,34,120,14,2234,891,2.48,17,031,815400,3,170318154003
6,0,19,37,15,45,32,0,59,17,20,33,28,11,0,6,1278,328,3.9,17,031,816600,1,170318166001
56,32,70,81,65,26,21,49,0,50,69,10,38,33,0,0,2154,600,3.59,17,031,816600,3,170318166003
17,29,20,7,54,21,38,10,65,0,28,24,14,19,0,0,1338,346,3.87,17,031,816600,2,170318166002
73,48,31,60,56,63,28,10,9,10,63,59,35,0,8,0,1405,553,2.54,17,031,817101,3,170318171013
22,20,68,19,0,42,32,0,56,26,25,53,35,0,10,6,981,414,2.37,17,031,817101,2,170318171012
19,0,17,0,34,0,6,45,3,0,31,121,95,31,49,58,1415,509,2.78,17,031,806103,3,170318061033
26,12,45,63,37,0,68,64,17,31,83,54,50,39,40,8,1734,637,2.71,17,031,221200,2,170312212002
45,39,34,34,31,0,16,14,21,0,33,11,0,0,0,5,893,283,3.16,17,031,834700,3,170318347003
41,17,9,6,13,3,25,0,5,12,62,80,11,20,11,8,924,323,2.86,17,031,806103,2,170318061032
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-666666666.0,17,031,351100,2,170313511002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,17,031,351100,3,170313511003
631,37,58,0,55,30,0,0,19,26,42,60,16,39,98,63,2754,1174,2.32,17,031,080400,1,170310804001
237,13,0,45,0,0,0,20,0,0,0,0,0,0,0,0,659,315,2.09,17,031,080400,2,170310804002
0,0,0,0,24,0,0,0,0,30,0,0,0,56,240,207,1494,557,2.68,17,031,080400,3,170310804003
45,5,20,30,6,46,79,16,27,43,110,80,67,33,65,22,1565,694,2.26,17,031,282800,1,170312828001
52,48,53,8,0,3,0,18,0,42,12,53,0,0,0,0,1057,289,3.66,17,031,260600,1,170312606001
73,39,16,19,41,25,0,8,20,22,34,51,0,5,0,0,1535,353,4.35,17,031,260600,2,170312606002
0,0,20,17,0,24,0,0,4,17,43,38,36,14,23,124,885,360,2.46,17,031,071700,1,170310717001
25,0,21,0,10,18,5,0,0,6,10,17,70,48,46,106,928,382,2.4,17,031,071700,2,170310717002
33,28,26,42,16,0,18,0,38,0,0,59,136,40,88,0,1689,524,3.22,17,031,020200,3,170310202003
13,0,18,5,17,5,5,4,13,36,26,53,43,21,26,50,831,335,2.19,17,031,040800,2,170310408002
15,4,21,5,8,16,21,18,5,80,70,84,56,16,21,16,984,456,2.16,17,031,040800,1,170310408001
36,25,25,23,5,9,16,12,18,47,36,15,4,4,5,0,878,280,3.14,17,031,222900,1,170312229001
11,62,92,27,0,0,61,25,0,124,38,127,47,76,14,11,1845,715,2.54,17,031,030200,4,170310302004
9,0,0,0,0,12,31,66,11,0,0,12,42,9,58,157,1018,407,2.5,17,031,030200,3,170310302003
48,0,93,26,119,50,0,46,28,42,65,89,33,50,43,14,1366,746,1.81,17,031,030200,1,170310302001
14,0,0,0,73,39,10,43,26,45,23,76,35,0,39,87,1045,510,2.04,17,031,030200,2,170310302002
22,19,16,28,37,19,19,18,20,29,51,94,96,30,63,61,1309,622,2.1,17,031,061100,1,170310611001
111,39,10,57,37,31,0,22,14,45,33,97,31,58,51,15,1481,651,2.27,17,031,283200,1,170312832001
92,84,0,29,115,14,71,175,37,56,173,221,30,41,0,0,3111,1138,2.73,17,031,804711,1,170318047111
0,0,0,0,0,13,13,56,0,13,8,26,23,67,52,22,889,293,3.03,17,031,804711,4,170318047114
12,8,8,15,0,14,18,8,15,27,59,89,93,54,64,78,1536,562,2.62,17,031,805106,2,170318051062
48,39,9,11,45,12,7,91,35,42,105,57,17,44,0,14,1132,576,1.97,17,031,805106,1,170318051061
0,0,17,8,18,5,29,20,28,55,59,56,33,26,40,61,1344,455,2.95,17,031,805109,1,170318051091
90,7,40,19,8,37,28,35,9,17,65,65,30,19,7,20,1126,496,2.27,17,031,805109,3,170318051093
28,0,29,0,25,56,9,43,0,87,103,76,50,68,24,11,1762,609,2.85,17,031,805002,1,170318050021
0,13,0,0,0,70,0,15,0,31,42,35,34,0,0,13,1067,253,4.22,17,031,805002,4,170318050024
0,0,0,9,0,36,70,29,0,52,61,39,13,0,0,0,968,309,3.13,17,031,805002,5,170318050025
34,17,10,7,0,21,17,29,41,38,53,128,51,29,78,0,1321,553,2.39,17,031,804803,2,170318048032
13,8,21,2,0,24,5,12,10,11,17,65,25,7,13,22,857,255,3.36,17,031,804808,1,170318048081
15,5,9,11,0,0,0,3,0,28,23,61,19,43,21,36,723,274,2.64,17,031,804808,3,170318048083
7,0,0,46,15,12,34,0,0,0,34,0,37,17,88,14,852,304,2.8,17,031,804902,4,170318049024
0,14,0,53,8,18,0,37,9,19,35,96,53,32,61,37,1334,472,2.83,17,031,804902,1,170318049021
20,0,30,15,14,16,67,8,71,35,25,135,77,33,60,49,1579,655,2.41,17,031,770300,2,170317703002
13,90,75,0,22,36,0,0,27,38,54,76,194,67,177,87,2261,956,2.37,17,031,803007,3,170318030073
27,0,10,48,22,10,0,54,56,68,14,28,98,0,170,55,1353,660,2.05,17,031,803007,1,170318030071
0,0,6,23,0,13,54,8,0,6,0,26,4,0,0,0,595,140,4.25,17,031,816402,4,170318164024
4,16,14,18,5,49,0,43,0,66,4,61,18,0,59,6,1751,363,4.81,17,031,816402,2,170318164022
402,87,31,30,4,12,38,28,18,15,13,17,30,6,0,11,1551,742,2.01,17,031,351400,1,170313514001
63,38,66,30,0,53,31,25,5,0,5,11,4,15,5,0,758,351,2.16,17,031,421200,2,170314212002
17,0,6,113,2,0,5,0,25,6,34,26,9,18,9,0,786,270,2.91,17,031,491200,3,170314912003
7,18,8,17,17,17,52,69,15,13,55,69,38,53,62,8,1417,518,2.74,17,031,805401,2,170318054012
43,0,9,38,24,42,29,19,16,22,54,98,72,13,27,16,1378,522,2.64,17,031,805401,1,170318054011
133,42,7,46,20,39,22,57,78,57,37,27,28,0,8,0,743,601,1.24,17,031,350100,1,170313501001
48,0,33,44,0,0,22,55,10,35,14,0,28,37,25,0,1033,351,2.94,17,031,190200,4,170311902004
0,42,0,11,34,24,38,17,55,89,41,42,33,59,9,0,1726,494,3.49,17,031,190200,2,170311902002
26,17,19,40,29,18,0,9,0,32,56,30,14,0,0,0,1424,290,4.89,17,031,190200,1,170311902001
0,0,76,33,10,71,7,9,18,95,39,17,23,8,0,19,1511,425,3.56,17,031,190200,3,170311902003
8,0,0,29,0,0,0,23,0,17,54,7,49,7,0,8,581,202,2.8,17,031,221300,3,170312213003
65,36,0,16,38,14,7,26,37,46,24,75,20,18,17,9,787,448,1.67,17,031,221300,2,170312213002
40,32,25,131,49,43,8,7,0,9,59,59,54,23,17,30,1394,586,2.38,17,031,221300,1,170312213001
45,86,29,49,99,18,86,106,15,175,108,239,110,68,52,0,3416,1285,2.64,17,031,824505,1,170318245051
9,0,0,14,61,68,0,21,0,52,38,207,59,106,84,12,2378,731,3.25,17,031,824505,3,170318245053
38,0,13,35,10,36,48,0,38,46,21,12,0,47,0,0,1029,344,2.99,17,031,825900,3,170318259003
58,34,37,27,43,67,19,41,18,0,52,11,6,0,0,0,1529,413,3.7,17,031,825900,1,170318259001
37,14,25,15,43,6,26,62,9,18,26,13,8,0,17,0,1156,319,3.62,17,031,826000,3,170318260003
37,0,38,42,18,27,25,9,40,47,7,23,0,0,37,0,1152,350,3.29,17,031,826000,2,170318260002
31,15,18,0,3,36,18,0,0,0,54,41,23,0,12,0,607,251,2.42,17,031,826100,1,170318261001
0,30,56,16,0,87,0,10,0,49,48,73,72,29,41,0,1292,511,2.53,17,031,826100,3,170318261003
0,57,126,14,9,15,0,17,41,37,84,16,32,99,0,0,2352,547,4.29,17,031,826100,6,170318261006
60,81,21,51,34,72,30,4,11,9,32,78,0,47,5,0,1310,535,2.45,17,031,826304,3,170318263043
23,67,0,0,0,56,0,9,80,60,55,31,0,10,0,0,1084,391,2.77,17,031,826304,2,170318263042
56,14,0,9,39,41,16,39,28,137,137,96,95,43,15,103,1583,868,1.82,17,031,242300,2,170312423002
59,0,0,30,84,50,62,29,30,0,79,49,0,0,0,13,1794,485,3.7,17,031,250400,3,170312504003
50,65,17,28,0,0,13,41,61,58,24,64,0,0,0,8,1113,429,2.59,17,031,250400,4,170312504004
112,17,16,0,0,29,55,12,0,54,90,17,64,64,216,238,1493,984,1.52,17,031,081402,2,170310814022
0,16,44,0,28,25,78,16,41,93,279,61,85,132,309,147,2103,1354,1.55,17,031,081402,1,170310814021
29,63,80,55,27,10,52,20,23,34,9,99,37,0,0,0,1075,538,1.88,17,031,010202,2,170310102022
86,89,59,67,38,0,0,7,4,6,52,65,36,22,0,0,1427,531,2.21,17,031,010202,1,170310102021
116,35,113,74,93,16,55,50,54,74,92,13,0,77,73,86,1570,1021,1.54,17,031,061902,2,170310619022
91,16,22,0,127,31,28,28,51,108,102,76,123,34,161,60,1433,1058,1.35,17,031,061902,3,170310619023
86,0,0,27,17,10,0,17,0,52,80,14,112,61,27,85,1550,588,2.61,17,031,829800,5,170318298005
6,0,8,15,5,16,17,39,8,9,29,13,61,29,26,13,947,294,3.22,17,031,150600,3,170311506003
0,8,14,33,0,7,8,51,9,37,79,20,20,17,26,0,1399,329,4.25,17,031,815100,1,170318151001
34,13,28,86,34,22,37,68,25,31,92,50,20,0,11,37,1776,588,3.01,17,031,815100,3,170318151003
10,7,52,0,20,39,6,28,7,34,24,30,11,35,18,0,1069,321,3.33,17,031,815100,2,170318151002
0,6,38,40,8,13,0,13,0,26,77,101,61,24,0,11,1144,418,2.74,17,031,818100,1,170318181001
0,18,30,30,56,6,0,6,36,78,20,83,21,40,43,12,1273,479,2.64,17,031,818100,2,170318181002
0,37,17,0,8,0,34,0,14,0,68,95,1,0,11,11,759,296,2.56,17,031,818200,2,170318182002
0,0,35,19,0,10,5,26,7,50,68,28,118,39,25,22,1391,452,3.08,17,031,818200,1,170318182001
53,71,31,62,28,16,28,49,18,104,76,60,107,25,52,9,1895,789,2.37,17,031,818200,4,170318182004
10,0,0,18,7,0,33,8,16,0,14,44,46,8,43,0,509,247,2.06,17,031,818200,3,170318182003
0,7,17,7,13,33,9,28,17,44,62,61,66,16,7,58,1035,445,2.33,17,031,818900,3,170318189003
87,38,16,35,65,26,24,60,60,65,109,125,56,29,64,18,1988,877,2.12,17,031,818900,2,170318189002
49,0,59,0,52,29,0,68,35,30,63,111,40,39,19,8,1728,602,2.87,17,031,818900,1,170318189001
47,0,39,63,7,64,0,0,15,30,13,27,30,0,0,6,821,341,2.41,17,031,661000,1,170316610001
67,15,25,37,0,0,4,0,0,6,32,29,8,56,0,0,1137,279,4.08,17,031,661000,2,170316610002
148,47,103,0,17,78,48,0,0,52,0,32,17,8,11,0,1475,561,2.63,17,031,661000,5,170316610005
68,59,40,30,15,10,13,44,11,5,7,7,10,0,3,0,985,322,3.06,17,031,670200,1,170316702001
225,83,77,28,35,29,82,23,7,24,80,42,93,9,39,39,1822,915,1.99,17,031,380100,1,170313801001
300,199,85,80,6,41,28,4,16,44,15,48,2,0,15,6,2034,889,2.19,17,031,461000,1,170314610001
57,0,0,13,0,8,0,8,26,30,26,32,67,18,31,34,643,350,1.75,17,031,063000,3,170310630003
